,topicsAll,topic0,topic1,topic2,topic3,topic4,topic5,model0,method0,method1,method2,method3,method4,method5,method6,method7,id,model1,method8,method9,method10,topic6,topic7,model2,model3,method11,method12,method13,method14,method15,method16,method17,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,method18
0,"Behavioral neuroscience, Cognitive neuroscience","Behavioral neuroscience; Neuroethology, Psychology (Affective neuroscience; Affective neuroscientists; Neuropsychological; Neuropsychologists)","Cellular neuroscience; Glia(Glial cells; Neuroglia), Neurons(Nerve cells; Neuronal cells)","Cognitive neuroscience; Cognition, Consciousness, Neuroeconomics (Neuroeconomists; Neuromarketing), Reaction time, Memory, Cognitive reserve","Developmental neuroscience; Brain development; Cognitive development (Learning, Learning disabilities)",Molecular neuroscience; Autopahgy; Autopahgy; Genertics,Neurophysiology; Neural mechanisms; Neural mechanisms; Brain; Neural mechanisms; Neural mechanisms; Neuromusucal junctions; Neural mechanisms,In humans; Human,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Behavioral tests (behavioral analysis; cognitive tests),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Cellular neuroscience, Clinical neuroscience","Cellular neuroscience; Glia, Neurons","Clinical neuroscience; Neurological disorders (Multiple sclerosis, Microglia, Autoimmune encephalitis, Remyelination, Experimental autoimmune encephalomyelitis (EAE), P2X4 receptor)","Neuroimmunity (Autoimmunity, Inflammation (Encephalitis), Inflammation (Encephalomyelitis), Neuroinflammation)",,,,In vivo (Animal model; Transgenic); Mouse (mice),Immunohistochemistry,Molecular biology (PCR),Behavioral tests (behavioral analysis; cognitive tests),,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Air pollution, Cognitive neuroscience, Developmental neuroscience",air pollution,"Cognitive neuroscience; Cognition, Neuroeconomics (Neuroeconomists; Neuromarketing), Memory","Developmental neuroscience; Brain development; Cognitive development (Fetal alcohol syndrome, Learning disabilities, Attention deficit hyperactivity disorder (ADHD)); Neurogenesis",,,,In vivo (Animal model; Transgenic); Human (children),Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetic Resonance Imaging (MRI),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Magnetic Resonance Imaging (MRI),,,,174,"In humans; Embryo (Prenatal), Children (kid, childhood)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Social neuroscience, Mental Health, Violence","Behavioral neuroscience; Neuroethology, Psychology, Social neuroscience","Cognitive neuroscience; Neuroeconomics, Cognition","Clinical neuroscience; Neurological disorders (Violent extremism, Sacred values, Social exclusion)",Developmental neuroscience; Axon growth; Axon growth,violence,,In vivo (Animal model; Transgenic); Non-human primates,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); fMRI, Ethnographic fieldwork, Psychological surveys","Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); fMRI, Ethnographic fieldwork, Psychological surveys",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); fMRI, Ethnographic fieldwork, Psychological surveys",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,148,"In humans; Human (Young Muslim men from a European Muslim community in neighborhoods in and around Barcelona, Spain)",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); fMRI, Ethnographic Fieldwork, Psychological Surveys",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Psychology","Developmental neuroscience; Cognitive development (Learning, Attention deficit disorder); Brain development","Cognitive neuroscience; Cognition, Consciousness",,,,,In vivo (Animal model; Transgenic); The experimental model used in this scientific study is infants (15-month-olds).,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,49,In humans; Infant (15-month-olds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Other Topics,music,model,model,violence,patient,model,None,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,61,,,,,video game,violence,,,,,,,,,,,,,,,,,,,,,,,
0,"Neuroscience, Air pollution",air pollution,Developmental neuroscience; Brain development; Cognitive development (Attention deficit hyperactivity disorder (ADHD)),,,,,"In humans; Embryo (Prenatal), Children (kid, childhood)",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Behavioral neuroscience, Addiction, Substance use disorder, Social interaction","Behavioral neuroscience; Neuroethology, Psychology, Social neuroscience","Clinical neuroscience; Neurological disorders (Substance use disorders, Social interaction)",,,,,In vivo (Animal model; Transgenic); Mouse (mice),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunohistochemistry,Behavioral tests (behavioral analysis; cognitive tests),,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Developmental neuroscience, Clinical neuroscience","Clinical neuroscience; Neurological disorders (Autism Spectrum Disorder, Gluten-free and casein-free diet)",diet,,,,,"In humans; Children, Adolescents",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); 24-h Recall, Adherence to the Diet Protocol, Urinary Concentrations of Beta-Casomorphin",,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Clinical neuroscience, Molecular neuroscience",Clinical neuroscience; Neurological disorders (Alzheimer disease (Alzheimer's disease; Alzheimers disease)),Molecular neuroscience; Proteins; Genertics,Treatment (Therapy) (Pharmacology),,,, In vitro (Culture),Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,Immunohistochemistry,In situ hybridization,Gene Edition,Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,"Imaging (Neuroimaging; Brain mapping; Brain maps; Brain scans; Neuroradiologists; Neuroradiology); Chemistry: Electorn Microscopy, X-Ray

I2-IR binding activity and Structure-Activity Relationships: Magnetic resonance imaging (MRI)

Comparison of I2-IR human receptor binding affinities: Positron Emission (PET)

In silico analysis of physico-chemical and pharmacokinetic parameters: 3D visualization

BBB permeation assay: Confocal Microscopy

Cytotoxicity: Single Photon Emission Tomographic bioimaging",Electroencephalography (EEG; Electroencephalogram; Electroencephalographic; Electroencephalographs) ,,48,In vivo (Animal model; Transgenic); The experimental model used in this scientific study is mice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
